in_id_m_id,in_id,m_id
1912,757,482
1913,2789,195
1914,1140,194
1915,215,54
1916,5256,132
1917,1948,29
1918,5019,14
1919,5369,210
1920,4454,494
1921,1998,260
1922,1217,93
1923,3679,293
1924,4495,406
1925,3191,391
1926,3057,275
1927,1130,28
1928,5348,130
1929,726,107
1930,1160,382
1931,4762,430
1932,3502,304
1933,4210,97
1934,5117,296
1935,783,363
1936,5280,462
1937,4598,20
1938,1717,404
1939,3831,374
1940,4267,225
1941,2739,25
1942,2966,439
1943,2824,14
1944,713,246
1945,4003,423
1946,5672,31
1947,2057,25
1948,3021,104
1949,4342,484
1950,5078,221
1951,900,26
1952,4399,459
1953,1523,488
1954,2703,364
1955,1390,187
1956,5684,92
1957,2374,122
1958,1337,171
1959,2915,142
1960,5095,143
1961,1325,465
1962,575,58
1963,5559,497
1964,1489,218
1965,4326,31
1966,3133,253
1967,3484,468
1968,3383,58
1969,3229,10
1970,4466,274
1971,4912,187
1972,716,262
1973,2045,435
1974,1316,293
1975,2981,492
1976,4947,38
1977,2887,461
1978,1509,495
1979,2880,151
1980,1218,296
1981,1333,257
1982,1189,500
1983,3669,438
1984,5024,436
1985,5347,97
1986,1574,293
1987,1095,394
1988,2229,381
1989,4735,2
1990,4611,494
1991,4653,277
1992,2214,461
1993,4219,288
1994,2047,35
1995,1080,477
1996,2966,270
1997,3597,171
1998,3075,28
1999,3949,119
2000,4579,422
2001,612,422
2002,2847,136
2003,4469,113
2004,1304,344
2005,2731,288
2006,1091,482
2007,2971,265
2008,3302,26
2009,5468,362
2010,4767,397
2011,1617,494
2012,3333,366
2013,1593,372
2014,2447,151
2015,5587,250
2016,2080,246
2017,5440,133
2018,160,194
2019,1542,214
2020,2179,306
2021,1604,132
2022,2928,302
2023,319,496
2024,4238,494
2025,1785,80
2026,541,145
2027,3921,404
2028,2155,50
2029,4908,233
2030,4240,243
2031,2294,416
2032,3624,235
2033,2166,227
2034,1266,2
2035,3787,145
2036,4848,270
2037,1218,216
2038,3525,372
2039,3349,350
2040,4146,491
2041,36,341
2042,3453,257
2043,2638,304
2044,2332,462
2045,4207,91
2046,807,401
2047,4338,413
2048,2439,457
2049,80,416
2050,4181,401
2051,1819,173
2052,5231,461
2053,5239,304
2054,5114,491
2055,1852,400
2056,2297,106
2057,4225,331
2058,4290,246
2059,2493,305
2060,5418,267
2061,4990,154
2062,209,298
2063,5437,466
2064,2929,83
2065,4655,38
2066,2251,473
2067,2554,192
2068,1225,461
2069,1897,494
2070,1868,474
2071,3369,494
2072,2484,190
2073,2978,352
2074,4353,167
2075,3757,25
2076,3403,265
2077,3288,25
2078,1917,151
2079,3565,153
2080,2000,245
2081,2779,404
2082,3898,407
2083,3047,151
2084,244,135
2085,5409,352
2086,5640,461
2087,551,495
2088,1877,399
2089,5690,500
2090,1574,218
2091,370,329
2092,2540,114
2093,907,249
2094,768,182
2095,737,250
2096,1298,119
2097,3179,486
2098,3534,381
2099,3151,70
2100,3428,222
2101,19,296
2102,3517,433
2103,1651,370
2104,4024,207
2105,1913,181
2106,3794,119
2107,2668,231
2108,3791,154
2109,2202,274
2110,374,210
2111,607,159
2112,5409,102
2113,235,302
2114,1148,202
2115,528,263
2116,697,406
2117,3315,97
2118,699,465
2119,5337,210
2120,4456,260
2121,5056,301
2122,530,302
2123,2833,8
2124,3321,274
2125,921,426
2126,677,151
2127,2711,187
2128,368,383
2129,3995,136
2130,123,284
2131,1719,90
2132,4881,221
2133,457,458
2134,2064,380
2135,610,210
2136,5000,486
2137,4832,488
2138,4804,96
2139,2574,17
2140,2072,422
2141,1361,385
2142,4121,153
2143,1979,33
2144,1882,114
2145,4621,385
2146,2705,262
2147,4401,38
2148,579,392
2149,3564,146
2150,1689,359
2151,3592,103
2152,3263,253
2153,1328,231
2154,1671,296
2155,5321,147
2156,4184,145
2157,2263,251
2158,5424,90
2159,461,249
2160,3465,97
2161,3234,65
2162,5346,174
2163,2183,103
2164,2020,301
2165,2212,286
2166,3780,145
2167,2226,146
2168,182,396
2169,2282,151
2170,1256,488
2171,3861,241
2172,2292,154
2173,4115,371
2174,5415,477
2175,726,293
2176,5067,68
2177,2325,484
2178,1863,243
2179,4906,98
2180,1982,131
2181,1431,417
2182,2749,404
2183,401,205
2184,3903,382
2185,1696,191
2186,1267,361
2187,3100,56
2188,580,18
2189,5324,382
2190,600,97
2191,4235,500
2192,1848,27
2193,4158,298
2194,2591,250
2195,5563,437
2196,5023,165
2197,4604,436
2198,2475,248
2199,3413,488
2200,4816,432
2201,4792,68
2202,1485,121
2203,845,127
2204,213,438
2205,1739,151
2206,5686,186
2207,4102,57
2208,2206,324
2209,2331,309
2210,5537,304
2211,1966,135
2212,2839,404
2213,3787,429
2214,3956,173
2215,4895,338
2216,1489,304
2217,3014,136
2218,40,115
2219,2599,146
2220,1558,471
2221,292,89
2222,5352,415
2223,5504,74
2224,2346,205
2225,2583,62
2226,2065,430
2227,2328,277
2228,843,440
2229,1498,68
2230,2040,446
2231,4921,486
2232,1963,26
2233,1081,469
2234,4322,111
2235,1647,294
2236,4305,115
2237,5488,488
2238,2737,477
2239,1848,366
2240,76,139
2241,5518,160
2242,2828,277
2243,1494,214
2244,3133,30
2245,5110,404
2246,1226,62
2247,5682,471
2248,1175,85
2249,2697,255
2250,3059,404
2251,1184,173
2252,73,304
2253,2610,18
2254,635,148
2255,2180,130
2256,2862,461
2257,3095,133
2258,1723,321
2259,2862,323
2260,5431,382
2261,2152,462
2262,3681,420
2263,1057,225
2264,740,1
2265,3803,288
2266,4590,74
2267,1487,246
2268,4426,120
2269,1496,14
2270,5564,301
2271,972,282
2272,2785,154
2273,1820,111
2274,2328,214
2275,5516,41
2276,5574,486
2277,3656,435
2278,3404,412
2279,2325,68
2280,4289,369
2281,3556,10
2282,5133,371
2283,1342,147
2284,2095,471
2285,2114,352
2286,4089,410
2287,3348,333
2288,1151,482
2289,1504,83
2290,1820,372
2291,368,93
2292,4352,205
2293,2615,329
2294,4307,150
2295,8,331
2296,4796,172
2297,2434,154
2298,506,385
2299,4537,366
2300,3986,74
2301,1988,494
2302,1457,465
2303,2957,413
2304,3469,31
2305,2211,230
2306,2216,147
2307,2079,130
2308,1905,451
2309,4746,431
2310,2118,54
2311,2717,486
2312,2389,1
2313,5501,242
2314,2566,114
2315,1463,486
2316,382,452
2317,347,151
2318,203,27
2319,3140,254
2320,3264,129
2321,3224,131
2322,2923,280
2323,4641,265
2324,4170,176
2325,5049,84
2326,2231,251
2327,1564,137
2328,2657,194
2329,5600,422
2330,1011,497
2331,1533,253
2332,1312,250
2333,5241,93
2334,129,304
2335,223,457
2336,4228,474
2337,2488,311
2338,4214,481
2339,226,65
2340,585,83
2341,1361,69
2342,5449,83
2343,1110,488
2344,881,348
2345,1127,185
2346,2262,38
2347,2704,345
2348,2387,74
2349,4661,391
2350,5340,500
2351,1651,286
2352,1660,267
2353,2730,260
2354,1617,146
2355,4623,56
2356,761,486
2357,1316,133
2358,651,14
2359,2197,344
2360,825,294
2361,1733,378
2362,3282,99
2363,4324,344
2364,3654,262
2365,1817,201
2366,2302,128
2367,4033,232
2368,5683,422
2369,762,200
2370,5005,97
2371,4022,146
2372,1152,461
2373,3288,130
2374,224,207
2375,583,86
2376,2727,133
2377,4819,90
2378,540,496
2379,3624,469
2380,258,322
2381,4398,152
2382,2257,494
2383,1916,249
2384,4984,2
2385,1737,4
2386,3955,27
2387,4830,214
2388,603,491
2389,2627,13
2390,3257,187
2391,4726,359
2392,1853,68
2393,497,461
2394,4585,28
2395,4751,215
2396,1460,302
2397,4768,73
2398,3650,13
2399,3528,233
2400,3801,404
2401,4629,377
2402,1858,313
2403,2305,437
2404,3579,77
2405,1530,293
2406,4059,121
2407,3895,246
2408,3488,218
2409,2,105
2410,4116,488
2411,2312,468
2412,3881,489
2413,3495,255
2414,1154,302
2415,4337,72
2416,4963,335
2417,35,117
2418,5513,73
2419,3367,201
2420,1446,422
2421,5396,385
2422,4641,468
2423,2739,416
2424,224,87
2425,1162,54
2426,211,487
2427,2259,15
2428,988,129
2429,4127,78
2430,16,461
2431,2865,462
2432,2822,277
2433,3556,136
2434,2095,413
2435,695,76
2436,5194,301
2437,3536,111
2438,1651,382
2439,3225,437
2440,4351,170
2441,4964,311
2442,4029,59
2443,507,293
2444,3937,244
2445,2498,474
2446,776,277
2447,1228,494
2448,2821,241
2449,5647,192
2450,2068,489
2451,1211,253
2452,4029,64
2453,5056,442
2454,4757,209
2455,129,374
2456,3408,304
2457,4443,128
2458,3937,148
2459,2954,302
2460,2356,303
2461,1155,313
2462,4831,293
2463,3807,454
2464,4138,232
2465,2347,174
2466,3915,117
2467,2484,393
2468,439,7
2469,922,384
2470,5362,72
2471,1704,192
2472,3022,136
2473,2495,151
2474,2348,393
2475,3,446
2476,2042,397
2477,1889,489
2478,2179,279
2479,3213,150
2480,127,154
2481,4549,358
2482,4040,348
2483,2575,451
2484,5679,52
2485,2050,293
2486,2254,430
2487,2273,308
2488,2699,105
2489,4327,245
2490,4247,106
2491,1876,35
2492,2052,332
2493,4921,29
2494,2669,16
2495,4645,121
2496,1579,22
2497,4551,10
2498,1649,217
2499,3773,149
2500,5640,160
2501,1229,265
2502,2496,192
2503,4188,466
2504,4125,7
2505,2210,189
2506,1293,461
2507,3098,25
2508,4645,297
2509,3528,352
2510,2372,141
2511,2719,277
2512,4853,488
2513,2074,262
2514,187,214
2515,5171,16
2516,4139,500
2517,546,54
2518,1357,482
2519,5630,74
2520,512,70
2521,3627,218
2522,2510,187
2523,3429,154
2524,3614,199
2525,1752,92
2526,1176,405
2527,4028,121
2528,232,207
2529,1625,294
2530,1408,461
2531,2374,275
2532,1775,18
2533,1436,188
2534,3171,402
2535,2398,83
2536,2520,328
2537,1811,321
2538,2658,50
2539,95,431
2540,5264,386
2541,5098,149
2542,2152,274
2543,4313,318
2544,2568,416
2545,4682,484
2546,15,494
2547,2100,259
2548,3484,352
2549,5052,207
2550,4844,154
2551,2220,117
2552,2738,136
2553,2746,415
2554,5539,461
2555,4188,494
2556,3157,433
2557,3141,79
2558,28,135
2559,803,117
2560,2951,365
2561,4839,117
2562,909,162
2563,2443,26
2564,1413,154
2565,4503,456
2566,1979,214
2567,942,153
2568,2635,388
2569,4869,72
2570,3761,231
2571,1079,384
2572,2305,390
2573,5033,145
2574,673,404
2575,4901,120
2576,5346,187
2577,3682,404
2578,5379,364
2579,2246,415
2580,2164,405
2581,2789,230
2582,2280,391
2583,2463,146
2584,2840,407
2585,2741,371
2586,3258,67
2587,689,257
2588,1911,228
2589,3192,214
2590,507,461
2591,1600,382
2592,272,97
2593,5627,76
2594,177,383
2595,1593,461
2596,1548,75
2597,2653,363
2598,813,235
2599,1260,187
2600,2114,148
2601,78,120
2602,3910,241
2603,5250,146
2604,4535,461
2605,4768,303
2606,5143,210
2607,3472,302
2608,694,77
2609,2885,482
2610,4218,145
2611,4316,251
2612,2258,494
2613,2322,327
2614,3346,143
2615,5308,197
2616,1921,171
2617,4114,291
2618,4245,347
2619,4221,274
2620,5518,106
2621,2345,93
2622,1689,255
2623,1521,373
2624,5212,251
2625,4965,182
2626,4093,489
2627,815,185
2628,3810,8
2629,4968,113
2630,1782,255
2631,3112,81
2632,3538,336
2633,5281,170
2634,2651,135
2635,1629,456
2636,2026,381
2637,3323,302
2638,4627,84
2639,4520,372
2640,1123,302
2641,5008,468
2642,2821,130
2643,1715,431
2644,1706,60
2645,5195,355
2646,4714,85
2647,787,486
2648,1842,152
2649,4891,201
2650,4162,187
2651,320,342
2652,2989,265
2653,5505,442
2654,1032,500
2655,2059,488
2656,2895,337
2657,2534,235
2658,3874,405
2659,3708,371
2660,4633,404
2661,1256,442
2662,3439,457
2663,2972,93
2664,420,318
2665,5090,246
2666,695,409
2667,1035,50
2668,5495,281
2669,3586,461
2670,1827,116
2671,4532,496
2672,2146,401
2673,5622,381
2674,1763,461
2675,4104,352
2676,5336,141
2677,986,454
2678,1204,263
2679,320,210
2680,4597,488
2681,231,479
2682,2654,225
2683,2768,304
2684,5213,482
2685,3566,416
2686,3373,294
2687,2742,248
2688,54,97
2689,4028,356
2690,2891,462
2691,5184,280
2692,2499,353
2693,4608,306
2694,5606,386
2695,3276,301
2696,146,411
2697,2073,189
2698,4241,391
2699,941,486
2700,1713,74
2701,5304,197
2702,5609,274
2703,4730,147
2704,3050,286
2705,2297,235
2706,5215,410
2707,3689,18
2708,20,406
2709,743,154
2710,1582,482
2711,2194,318
2712,3643,189
2713,1009,230
2714,2591,494
2715,3876,101
2716,5457,50
2717,2842,326
2718,3318,244
2719,3777,435
2720,5644,496
2721,3606,438
2722,1438,85
2723,2507,187
2724,4359,120
2725,4329,393
2726,1788,495
2727,4798,462
2728,4386,81
2729,4547,202
2730,5597,371
2731,5629,160
2732,4877,312
2733,1572,348
2734,1654,289
2735,2352,154
2736,2188,208
2737,4415,136
2738,1421,153
2739,1759,181
2740,5655,90
2741,4611,495
2742,5184,70
2743,3590,378
2744,3888,142
2745,5321,130
2746,2004,385
2747,5537,494
2748,1637,406
2749,4020,334
2750,142,157
2751,5605,385
2752,1748,138
2753,555,381
2754,5635,130
2755,4764,413
2756,3292,396
2757,3853,106
2758,4146,275
2759,2251,98
2760,528,210
2761,14,97
2762,1498,28
2763,5212,38
2764,3878,500
2765,1435,383
2766,1923,461
2767,2852,245
2768,82,316
2769,3983,143
2770,3666,50
2771,5475,311
2772,3987,237
2773,4060,500
2774,4727,121
2775,1009,260
2776,4587,257
2777,19,38
2778,1934,207
2779,2792,234
2780,2344,291
2781,4291,6
2782,5661,96
2783,1263,363
2784,5072,262
2785,2879,373
2786,2597,84
2787,4006,329
2788,1804,255
2789,5172,38
2790,497,486
2791,3677,473
2792,2292,38
2793,890,163
2794,2076,465
2795,4758,62
2796,2444,486
2797,3235,203
2798,5415,104
2799,2205,162
2800,2616,432
2801,3953,55
2802,581,494
2803,1782,58
2804,1972,136
2805,5510,296
2806,5126,74
2807,3038,486
2808,1919,344
2809,2451,420
2810,242,134
2811,1061,62
2812,2237,122
2813,273,338
2814,4763,486
2815,4869,455
2816,4495,329
2817,1842,406
2818,1443,7
2819,5683,74
2820,4145,373
2821,3140,435
2822,1122,382
2823,439,436
2824,2626,231
2825,1472,494
2826,1551,56
2827,1797,374
2828,2437,413
2829,387,241
2830,5645,401
2831,1586,436
2832,3065,77
2833,746,46
2834,4832,347
2835,1627,235
2836,325,61
2837,4469,392
2838,3915,171
2839,5051,404
2840,933,378
2841,4623,431
2842,1959,28
2843,1115,256
2844,669,404
2845,1125,352
2846,4566,221
2847,3675,488
2848,3737,219
2849,305,486
2850,605,118
2851,2980,133
2852,198,98
2853,3741,391
2854,4875,409
2855,5282,358
2856,1647,246
2857,5073,497
2858,4537,494
2859,2893,460
2860,3105,438
2861,5636,208
2862,470,86
2863,4173,61
2864,3686,151
2865,2255,45
2866,997,303
2867,2667,486
2868,1223,35
2869,4182,404
2870,2992,128
2871,4881,74
2872,3442,105
2873,2648,415
2874,1802,500
2875,1170,38
2876,311,404
2877,1633,465
2878,169,469
2879,4456,170
2880,3372,7
2881,4320,486
2882,2080,383
2883,4236,360
2884,3929,28
2885,78,94
2886,1077,302
2887,497,361
2888,1700,364
2889,918,114
2890,5412,153
2891,1064,132
2892,2989,247
2893,1704,285
2894,98,277
2895,2584,461
2896,5150,189
2897,1741,282
2898,3117,479
2899,5432,326
2900,4107,486
2901,1215,105
2902,3293,347
2903,3290,218
2904,1884,214
2905,3371,146
2906,930,356
2907,1229,216
2908,1958,365
2909,2025,125
2910,4354,161
2911,4056,189
2912,3455,404
2913,3744,374
2914,3797,167
2915,2404,32
2916,5374,271
2917,313,250
2918,1309,302
2919,1668,392
2920,1284,487
2921,4066,233
2922,1669,151
2923,422,452
2924,5076,58
2925,2395,230
2926,4590,279
2927,2638,237
2928,4718,395
2929,1110,117
2930,4095,473
2931,2840,143
2932,4784,74
2933,3061,265
2934,3697,58
2935,5478,210
2936,2080,70
2937,2766,489
2938,1207,87
2939,4658,121
2940,2065,145
2941,2097,349
2942,928,66
2943,3153,461
2944,768,16
2945,4500,107
2946,380,356
2947,4313,285
2948,3893,347
2949,2726,200
2950,2151,305
2951,216,431
2952,2744,303
2953,3564,38
2954,2390,491
2955,4950,93
2956,3033,82
2957,3976,372
2958,593,214
2959,313,293
2960,3961,32
2961,754,454
2962,1558,89
2963,2164,468
2964,2060,139
2965,2290,26
2966,297,364
2967,1506,387
2968,91,142
2969,2,338
2970,4212,81
2971,4288,124
2972,2960,119
2973,2616,117
2974,4435,157
2975,4646,85
2976,2345,11
2977,2532,22
2978,4486,71
2979,4597,188
2980,3112,187
2981,4970,378
2982,5332,412
2983,2859,366
2984,2,121
2985,4618,440
2986,578,321
2987,193,136
2988,5058,28
2989,1631,404
2990,1372,97
2991,5281,95
2992,3997,489
2993,2447,413
2994,4819,486
2995,1584,84
2996,1942,210
2997,2394,83
2998,3850,301
2999,467,303
3000,396,270
3001,4710,462
3002,872,182
3003,2373,83
3004,5267,154
3005,4506,190
3006,2068,290
3007,3743,65
3008,1274,181
3009,999,302
3010,1981,6
3011,2742,407
3012,19,90
3013,4678,303
3014,2538,235
3015,5210,48
3016,528,372
3017,3053,211
3018,1966,262
3019,1192,148
3020,3449,399
3021,313,151
3022,593,91
3023,4762,356
3024,5475,23
3025,694,376
3026,2879,28
3027,5478,176
3028,4998,88
3029,3115,303
3030,41,404
3031,11,136
3032,1689,104
3033,4513,104
3034,4200,100
3035,4600,135
3036,4956,404
3037,3096,255
3038,1459,237
3039,3877,97
3040,5377,182
3041,5366,58
3042,1789,90
3043,3228,146
3044,1381,210
3045,1452,473
3046,5287,472
3047,984,482
3048,2451,7
3049,3432,397
3050,1791,61
3051,4164,147
3052,4717,151
3053,1174,443
3054,3396,146
3055,339,85
3056,3274,107
3057,3422,8
3058,4902,488
3059,1727,439
3060,2698,293
3061,4678,187
3062,1598,396
3063,4817,385
3064,627,339
3065,4771,413
3066,749,323
3067,2684,182
3068,697,306
3069,4273,113
3070,2749,212
3071,2359,303
3072,2235,218
3073,4995,108
3074,2220,167
3075,4301,148
3076,4717,486
3077,5134,218
3078,5172,161
3079,3599,262
3080,4829,404
3081,3721,90
3082,513,72
3083,321,413
3084,5116,442
3085,4114,187
3086,3505,352
3087,3600,185
3088,1720,462
3089,4281,353
3090,1119,296
3091,5667,231
3092,993,201
3093,862,159
3094,418,7
3095,4777,207
3096,5005,211
3097,5541,335
3098,1597,303
3099,2422,465
3100,5666,429
3101,42,404
3102,2448,381
3103,2978,304
3104,562,336
3105,1409,213
3106,1020,236
3107,4344,279
3108,1870,136
3109,2267,391
3110,3935,435
3111,5656,479
3112,773,190
3113,2208,484
3114,700,407
3115,5656,154
3116,1672,159
3117,728,176
3118,2533,337
3119,1630,45
3120,1186,230
3121,3200,392
3122,1100,444
3123,3878,29
3124,185,262
3125,3419,193
3126,2581,210
3127,4192,473
3128,5001,486
3129,3786,104
3130,1498,490
3131,2583,15
3132,3290,478
3133,4009,481
3134,763,426
3135,1054,28
3136,4914,486
3137,934,481
3138,1082,318
3139,1990,241
3140,1478,319
3141,558,364
3142,1694,376
3143,286,392
3144,506,494
3145,1241,213
3146,5450,404
3147,4402,146
3148,1315,250
3149,3301,77
3150,4120,496
3151,550,149
3152,4762,274
3153,3336,422
3154,4860,20
3155,3619,225
3156,4697,46
3157,188,465
3158,279,150
3159,3514,66
3160,5432,188
3161,4653,53
3162,2094,304
3163,5428,1
3164,4945,32
3165,1891,500
3166,4223,245
3167,3783,477
3168,3554,189
3169,4252,431
3170,1749,392
3171,2,11
3172,2173,120
3173,1436,293
3174,2103,157
3175,5335,303
3176,3295,147
3177,1117,90
3178,804,32
3179,1708,213
3180,4878,277
3181,1941,413
3182,485,96
3183,2592,214
3184,1118,37
3185,503,304
3186,2587,77
3187,2145,429
3188,799,38
3189,1464,32
3190,3530,249
3191,3362,206
3192,324,257
3193,2656,257
3194,3176,80
3195,1409,225
3196,2580,239
3197,4825,60
3198,5629,397
3199,1667,140
3200,1554,119
3201,283,372
3202,1673,29
3203,5537,223
3204,1333,85
3205,508,459
3206,4452,29
3207,894,49
3208,1893,61
3209,5306,16
3210,3514,159
3211,2955,104
3212,3355,494
3213,5196,357
3214,4429,413
3215,2385,106
3216,795,269
3217,2563,147
3218,3782,272
3219,2010,7
3220,2877,489
3221,4580,303
3222,2776,66
3223,354,158
3224,4073,363
3225,1494,244
3226,2561,235
3227,4305,83
3228,5494,413
3229,380,253
3230,1330,382
3231,3881,250
3232,3576,87
3233,2279,116
3234,4323,225
3235,3093,202
3236,1745,7
3237,434,454
3238,5455,7
3239,3035,360
3240,3694,1
3241,203,214
3242,242,404
3243,515,351
3244,340,390
3245,4845,413
3246,4082,77
3247,5448,209
3248,1096,222
3249,992,230
3250,4986,490
3251,3351,189
3252,5114,242
3253,4141,172
3254,119,275
3255,5380,206
3256,5143,158
3257,792,65
3258,1202,136
3259,3757,391
3260,548,172
3261,604,462
3262,4851,363
3263,1387,195
3264,955,46
3265,3762,212
3266,4078,301
3267,1209,165
3268,5272,15
3269,3898,82
3270,1632,404
3271,1437,117
3272,1273,56
3273,4910,380
3274,3112,181
3275,1532,182
3276,617,95
3277,4497,249
3278,5238,406
3279,4982,335
3280,1591,490
3281,3504,50
3282,3280,262
3283,4310,136
3284,4503,303
3285,4871,198
3286,1082,400
3287,1742,151
3288,2018,430
3289,2008,452
3290,3816,158
3291,2531,494
3292,1381,69
3293,4544,14
3294,330,10
3295,1319,272
3296,3527,237
3297,4255,147
3298,3465,74
3299,3221,237
3300,1357,360
3301,5040,260
3302,986,323
3303,4826,69
3304,723,225
3305,2967,413
3306,2493,106
3307,505,262
3308,4119,139
3309,1626,471
3310,5394,198
3311,1840,422
3312,2402,482
3313,865,404
3314,2706,137
3315,1704,14
3316,3503,70
3317,1045,296
3318,4760,306
3319,2222,97
3320,2111,176
3321,943,140
3322,835,404
3323,4419,117
3324,4738,223
3325,767,404
3326,2356,231
3327,1804,461
3328,2705,67
3329,1991,210
3330,3191,385
3331,2855,182
3332,4605,194
3333,4417,479
3334,2121,262
3335,2345,154
3336,1988,490
3337,5634,301
3338,1376,277
3339,1671,54
3340,5669,277
3341,2993,257
3342,5198,230
3343,5183,179
3344,1708,391
3345,2199,461
3346,856,394
3347,737,318
3348,2928,249
3349,5654,466
3350,3553,139
3351,4273,356
3352,1320,360
3353,2869,225
3354,2737,111
3355,4701,328
3356,3480,119
3357,1192,449
3358,3616,109
3359,4959,260
3360,4150,358
3361,562,462
3362,796,125
3363,1240,272
3364,4263,58
3365,3275,249
3366,4272,494
3367,2834,486
3368,997,230
3369,4437,348
3370,5649,265
3371,3241,230
3372,3734,391
3373,3377,154
3374,5063,394
3375,2209,235
3376,2271,136
3377,4504,325
3378,3838,74
3379,4680,446
3380,1736,72
3381,364,301
3382,4122,131
3383,162,405
3384,1375,470
3385,2570,303
3386,4676,69
3387,3305,19
3388,2525,99
3389,2339,114
3390,58,486
3391,3866,154
3392,4324,324
3393,3055,37
3394,4911,314
3395,1731,52
3396,3006,303
3397,4344,207
3398,5651,358
3399,3849,241
3400,2915,62
3401,4626,396
3402,2225,333
3403,5230,152
3404,1202,190
3405,4583,19
3406,1268,352
3407,4872,324
3408,479,304
3409,5340,265
3410,2093,293
3411,962,435
3412,3018,239
3413,19,404
3414,4471,122
3415,3729,265
3416,5587,473
3417,2577,78
3418,4655,402
3419,4358,250
3420,1501,495
3421,227,302
3422,5414,260
3423,845,14
3424,4416,140
3425,5528,358
3426,1090,386
3427,1782,422
3428,4461,210
3429,3732,124
3430,5426,192
3431,3270,303
3432,5645,368
3433,960,279
3434,4098,453
3435,4213,151
3436,825,251
3437,2593,281
3438,4925,265
3439,2959,60
3440,1593,136
3441,346,368
3442,249,59
3443,2225,301
3444,890,106
3445,1764,241
3446,5150,363
3447,1544,491
3448,3483,93
3449,2933,121
3450,5037,179
3451,5002,393
3452,4672,413
3453,4064,189
3454,1743,366
3455,2112,260
3456,3072,192
3457,181,133
3458,196,245
3459,5026,401
3460,1702,14
3461,299,1
3462,5224,496
3463,1369,393
3464,5008,303
3465,2905,29
3466,5402,168
3467,784,461
3468,312,473
3469,2837,31
3470,90,399
3471,5125,65
3472,5670,399
3473,820,213
3474,2783,1
3475,1048,362
3476,2319,490
3477,1290,271
3478,334,314
3479,2531,32
3480,4862,449
3481,544,332
3482,2838,95
3483,313,344
3484,3912,326
3485,4773,298
3486,1125,168
3487,5000,438
3488,1098,233
3489,1727,32
3490,1075,319
3491,3873,231
3492,1040,194
3493,5063,224
3494,792,136
3495,368,11
3496,4006,277
3497,3606,412
3498,1902,248
3499,3001,434
3500,2625,385
3501,5325,135
3502,1288,76
3503,5611,35
3504,3435,384
3505,4689,29
3506,2178,92
3507,2488,135
3508,405,476
3509,1635,327
3510,3302,322
3511,4518,231
3512,3454,6
3513,5551,97
3514,3272,252
3515,3577,68
3516,1589,164
3517,2445,469
3518,5074,456
3519,348,255
3520,3788,55
3521,2353,309
3522,1006,124
3523,3092,225
3524,4470,364
3525,3939,125
3526,715,280
3527,5158,29
3528,123,404
3529,1595,55
3530,3564,422
3531,5683,38
3532,4804,361
3533,436,369
3534,2946,104
3535,3540,494
3536,3132,122
3537,3444,149
3538,5264,286
3539,1888,456
3540,3567,344
3541,5301,2
3542,4296,176
3543,1546,239
3544,5323,422
3545,5384,54
3546,902,76
3547,4159,101
3548,4223,194
3549,2959,68
3550,5201,488
3551,1029,397
3552,777,428
3553,2350,143
3554,4841,182
3555,683,444
3556,690,82
3557,2064,274
3558,5660,146
3559,5513,413
3560,577,93
3561,5449,360
3562,2759,481
3563,4201,103
3564,608,322
3565,3141,440
3566,847,446
3567,958,154
3568,169,127
3569,829,68
3570,717,279
3571,910,500
3572,2439,481
3573,5298,127
3574,2933,486
3575,3775,469
3576,3098,253
3577,346,365
3578,412,206
3579,257,66
3580,4160,124
3581,2475,138
3582,1043,366
3583,3370,76
3584,1354,358
3585,4282,217
3586,546,28
3587,4718,404
3588,3643,117
3589,333,281
3590,666,432
3591,344,386
3592,1435,404
3593,5688,386
3594,3218,376
3595,898,385
3596,2234,413
3597,117,316
3598,4410,296
3599,2850,38
3600,2885,488
3601,4386,388
3602,1766,396
3603,4408,486
3604,1551,97
3605,4916,267
3606,3639,93
3607,5162,452
3608,3778,125
3609,3383,151
3610,4961,151
3611,4705,384
3612,1944,311
3613,3055,315
3614,1353,260
3615,4054,191
3616,5353,74
3617,62,104
3618,1316,338
3619,5657,404
3620,28,77
3621,123,74
3622,3510,397
3623,4584,474
3624,4568,365
3625,1679,135
3626,280,495
3627,575,342
3628,2990,460
3629,1920,286
3630,5111,324
3631,935,256
3632,4003,303
3633,3330,379
3634,2850,303
3635,2428,402
3636,1599,197
3637,172,29
3638,2177,461
3639,2891,481
3640,4857,225
3641,3928,231
3642,1567,7
3643,120,88
3644,3985,489
3645,493,57
3646,5145,392
3647,1447,61
3648,4152,45
3649,5099,392
3650,2509,492
3651,3927,136
3652,5259,69
3653,2987,404
3654,1748,172
3655,4631,101
3656,2524,33
3657,5538,488
3658,40,488
3659,3987,356
3660,4378,494
3661,5203,70
3662,5316,56
3663,4013,145
3664,4484,413
3665,2999,217
3666,93,87
3667,1036,219
3668,4975,301
3669,2609,405
3670,2971,198
3671,554,471
3672,2972,391
3673,226,117
3674,3602,225
3675,3607,45
3676,4315,50
3677,1886,376
3678,3187,399
3679,2362,461
3680,1249,174
3681,5273,40
3682,2455,324
3683,5012,397
3684,2887,486
3685,3455,213
3686,3443,98
3687,2332,303
3688,1017,184
3689,306,288
3690,1738,324
3691,2889,262
3692,4360,277
3693,133,16
3694,5414,495
3695,83,250
3696,5427,462
