variable name,variable description,data type,values,filename
v197,Number recognition,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v198,First line address recognition,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v199,Town recognition,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v200,County recognition,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v201,Name current Prime Minister,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v202,Name woman Prime Minister,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v203,Name USA President,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v204,Name USA President assassinated in 1960's,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v205,When did WW1 begin?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v206,When did WW2 begin?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v207,Name present King or Queen,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v208,Who will follow her (him)?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v209,What has been in the news past week or two?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v210,What is Yoko Ono famous for?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v211,Name first man on the moon,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v212,What was Edmund Hilary famous for?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v213,Name first woman Prime Minister of India,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v214,Name famous cinema actress that married Prince Rainier of Monaco,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v215,Name German leader in WW2,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v216,Name Russian leader in WW2,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v217,What was Mae West famous for?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v218,Name famous flyer whose son was kidnapped,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v219,Anna Thompson story recall,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v220,Spot the word practice test completed,category,"[1.0, 2.0]",homeint_export
v221,Spot the word real test completed,category,"[1.0, 2.0, 3.0]",homeint_export
v222,How are apple and banana alike?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v223,How are shirt and dress alike?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v224,How are table and chair alike?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v225,How are plant and animal alike?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v226,Recognition 1p,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v227,Recognition 10p,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v228,Calculation 11p,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v229,Calculation 89p,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v230,Do you feel you have problems with your memory?,category,"[1.0, 2.0]",homeint_export
v231,WHAT DAY OF THE WEEK IT IS,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v232,REPEATING SAME STORY/MESSAGE,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v233,FORGET FAMILY/FRIENDS HAVE DIED,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v234,FORGET MONTH/YEAR,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v235,CAN DO SOMETHING AGAIN BEFORE REALISING HAVE DONE IT BEFORE,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v236,GREAT DIFFICULTY FINDING WAY AROUND KNOWN PLACES,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v237,PROBLEM KNOWING WHERE THINGS ARE,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v238,DIFFICULTY REMEMBERING WHAT HAVE READ,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v239,DIFFICULTY FOLLOWING A TV PROGRAMME,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v240,MY MEMORY DIFFICULTIES HAVE A MAJOR IMPACT ON MY ABILITY FOR EVERYDAY THINGS,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v241,Smoke tobacco?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v242,Age when first started smoking,numeric,6.0 to 999.0,homeint_export
v243,Type of tobacco smoked?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v244,Did you previously smoke cigarettes on most or all days?,category,"[1.0, 2.0, 9.0]",homeint_export
v245,Number cigarettes smoked on average each day - past smoker,category,"[5.0, 15.0, 99.0]",homeint_export
v246,Age when last smoked cigarettes on most days,category,"[19.0, 22.0, 999.0]",homeint_export
v247,Number cigarettes smoked on average each day - current smoker,numeric,1.0 to 99.0,homeint_export
v248,Time of first cigarette,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v249,"Compared to 10 years ago, do you smoke...?",category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v250,Why reduce smoking?,numeric,1 to 9,homeint_export
v251,"In past, how often smoked tobacco?",category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v252,"In lifetime, have you smoked at least 100 cigarettes?",category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v253,,numeric,0.0 to 52.0,homeint_export
v254,Type of tobacco smoked?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v255,Did you smoke cigarettes on most or all days?,category,"[1.0, 2.0, 9.0]",homeint_export
v256,Number cigarettes smoked on average each day - past smoker?,numeric,1.0 to 99.0,homeint_export
v257,Age when last smoked cigarettes on most days?,numeric,0.0 to 777.0,homeint_export
v258,Why reduce smoking?,numeric,1 to 9,homeint_export
v259,Anyone in household smoke?,category,"[1.0, 2.0, 3.0, 8.0, 9.0]",homeint_export
v260,,numeric,0.0 to 999.0,homeint_export
v261,,numeric,0.0 to 999.0,homeint_export
v262,,numeric,0.0 to 99.0,homeint_export
v263,,numeric,0.0 to 100.0,homeint_export
v264,Quantity - fresh fruit,numeric,0.0 to 99.0,homeint_export
v265,Quantity - dried fruit,numeric,0.0 to 99.0,homeint_export
v266,How often eat oily fish?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v267,How often eat other fish?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v268,How often eat processed meats?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0]",homeint_export
v269,How often eat chicken/turkey/other poultry?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0]",homeint_export
v270,How often eat beef?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0]",homeint_export
v271,How often eat lamb/mutton?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0]",homeint_export
v272,How often eat pork?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0]",homeint_export
v273,Age when last ate meat,numeric,0.0 to 999.0,homeint_export
v274,Which do you never eat?,numeric,1 to 9,homeint_export
v275,How often eat cheese?,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v276,Type of milk?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0]",homeint_export
v277,Type of spread?,numeric,0.0 to 77.0,homeint_export
v278,Number of bread slices per week,numeric,0.0 to 130.0,homeint_export
v279,Type of bread?,numeric,1 to 9,homeint_export
v280,Number of bowls of cereal per week,numeric,0.0 to 99.0,homeint_export
v281,Type of cereal?,numeric,1 to 9,homeint_export
v282,Add salt to food?,category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v283,Number of cups of tea per day,numeric,0.0 to 99.0,homeint_export
v284,Number of cups of coffee per day,numeric,0.0 to 99.0,homeint_export
v285,Type of coffee?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v286,How do you like hot drinks?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v287,,numeric,0.0 to 99.0,homeint_export
v288,Any major diet changes in past 5 years?,category,"[0.0, 1.0, 2.0]",homeint_export
v289,Does diet vary week to week?,category,"[1.0, 2.0, 3.0, 7.0, 8.0]",homeint_export
v290,How often drink alcohol?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 9.0]",homeint_export
v291,Did you previously drink alcohol?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v292,Why did you stop drinking alcohol?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0]",homeint_export
v293,Number glasses of red wine average week?,numeric,0.0 to 99.0,homeint_export
v294,Number glasses of white wine/champagne average week?,numeric,0.0 to 99.0,homeint_export
v295,,numeric,0.0 to 8888.0,homeint_export
v296,Number standard measures of spirits/liqueurs average week?,numeric,0.0 to 8888.0,homeint_export
v297,Number glasses of fortified wine average week?,numeric,0.0 to 99.0,homeint_export
v298,"Compared to 10 years ago, do you drink...?",category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v299,Reason reduced amount drank,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0]",homeint_export
v300,Used nonmedical drugs?,category,"[1.0, 2.0, 9.0]",homeint_export
v301,Abused prescription drugs?,category,"[1.0, 2.0, 9.0]",homeint_export
v302,Abuse more than 1 drug at a time?,category,"[1.0, 2.0, 9.0]",homeint_export
v303,Get through week without using drugs?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v304,Able to stop using drugs when want?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v305,Had 'blackouts' or 'flashbacks'?,category,"[1.0, 2.0, 9.0]",homeint_export
v306,Feel bad/guilty about drug use?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v307,Spouse/partner/parents complain?,category,"[1.0, 2.0, 9.0]",homeint_export
v308,Drug abuse created problems with spouse/parents?,category,"[1.0, 2.0, 9.0]",homeint_export
v309,Lost friends?,category,"[1.0, 2.0, 9.0]",homeint_export
v310,Neglected family?,category,"[1.0, 2.0, 9.0]",homeint_export
v311,Been in work trouble?,category,"[1.0, 2.0, 9.0]",homeint_export
v312,Lost a job?,category,"[1.0, 2.0, 9.0]",homeint_export
v313,Gotten into fights?,category,"[1.0, 2.0, 9.0]",homeint_export
v314,Engaged in illegal activities?,category,"[1.0, 2.0, 9.0]",homeint_export
v315,Arrested for possession of illegal drugs?,category,"[1.0, 2.0, 9.0]",homeint_export
v316,Experience withdrawal symptoms?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v317,Medical problems as a result of drug use?,category,"[1.0, 2.0, 9.0]",homeint_export
v318,Sought help for drug problem?,category,"[1.0, 2.0, 9.0]",homeint_export
v319,Involved in drug use treatment program?,category,"[1.0, 2.0, 9.0]",homeint_export
v320,Currently using these drugs?,category,"[1.0, 2.0, 9.0]",homeint_export
v321,Estimation of health?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v322,"Over past 12 months, health has been?",category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v323,Any long-standing illness/disability/infirmity?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v324,Receive any of the following?,numeric,0 to 9,homeint_export
v325,"Compared with 1 year ago, has weight changed?",category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v326,Wear glasses/contact lenses?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v327,Age when first wore glasses/contact lenses,numeric,1.0 to 99.0,homeint_export
v328,Any of the following problems with eyes?,numeric,0 to 9,homeint_export
v329,Other problems with your eyesight?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v330,Problems interfere with day to day living?,category,"[1.0, 2.0, 9.0, 19.0]",homeint_export
v331,Consent for vision test?,category,"[1.0, 2.0, 3.0, 5.0]",homeint_export
v332,USING GLASSES/CONTACT LENSES,category,"[1.0, 2.0]",homeint_export
v333,Line read - Left eye,category,"[9999, A, B, C, D, E, F, G, H, I, J]",homeint_export
v334,Line read - Right eye,category,"[9999, A, B, C, D, E, F, G, H, I, J]",homeint_export
v335,Line read - Both eyes?,category,"[9999, A, B, C, D, E, F, G, H, I, J]",homeint_export
v336,Any difficulty with hearing?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v337,Problems interfere with day to day living?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v338,Difficulty following a conversation if background noise?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v339,Use a hearing aid?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v340,Can it be removed?,category,"[1.0, 2.0, 9.0]",homeint_export
v341,Consent for hearing test?,category,"[1.0, 2.0, 9.0]",homeint_export
v342,WEARING HEARING AID,category,"[1.0, 2.0, 9.0]",homeint_export
v343,HEARING AID REMOVED,category,"[1.0, 2.0]",homeint_export
v344,"Number of tones - 1000Hz, Right ear?",category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v345,"Number of tones - 3000Hz, Right ear?",category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v346,"Number of tones - 1000Hz, Left ear?",category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v347,"Number of tones - 3000Hz, Left ear?",category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v348,Been diagnosed with medical conditions?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v349,High blood pressure?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v350,Age?,numeric,0.0 to 7777.0,homeint_export
v351,Still awaiting specialist investigation?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v352,Receive medication for high blood pressure?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v353,,numeric,0.0 to 999.0,homeint_export
v354,Is high blood pressure still uncontrolled?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v355,High blood cholesterol?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v356,Age?,numeric,0.0 to 7777.0,homeint_export
v357,Angina?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v358,Age?,numeric,7.0 to 91.0,homeint_export
v359,Heart attack (myocardial infarction)?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v360,Age?,numeric,26.0 to 777.0,homeint_export
v361,Cardiac arrhythmia/palpitations/irregular heartbeat?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v362,Age?,numeric,0.0 to 7777.0,homeint_export
v363,,string,,homeint_export
v364,Varicose veins?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v365,Age?,numeric,0.0 to 7777.0,homeint_export
v366,Migraine?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v367,Age?,numeric,3.0 to 7777.0,homeint_export
v368,Stroke?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v369,Age?,numeric,23.0 to 777.0,homeint_export
v370,Pulmonary embolism?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v371,Age?,numeric,20.0 to 88.0,homeint_export
v372,Deep vein thrombosis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v373,Age?,numeric,20.0 to 777.0,homeint_export
v374,Other vascular disease?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v375,Age?,numeric,0.0 to 888.0,homeint_export
v376,,string,,homeint_export
v377,Diabetes (not during pregnancy)?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v378,Age?,numeric,1.0 to 777.0,homeint_export
v379,Thyroid disease?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v380,Age?,numeric,4.0 to 777.0,homeint_export
v381,,string,,homeint_export
v382,Peptic ulcer?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v383,Age?,numeric,18.0 to 81.0,homeint_export
v384,,string,,homeint_export
v385,Meningitis or encephalitis?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v386,Age?,numeric,3.0 to 70.0,homeint_export
v387,Polyps in the large intestine?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v388,Age?,numeric,24.0 to 888.0,homeint_export
v389,Gallstones?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v390,Age?,numeric,0.0 to 777.0,homeint_export
v391,Gall bladder removed?,numeric,0.0 to 999.0,homeint_export
v392,Pancreatitis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v393,Age?,numeric,25 to 73,homeint_export
v394,Appendicitis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v395,Age?,numeric,1.0 to 999.0,homeint_export
v396,Liver disease?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v397,Age?,numeric,7.0 to 80.0,homeint_export
v398,,string,,homeint_export
v399,Hayfever/eczema?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v400,,numeric,0.0 to 7777.0,homeint_export
v401,Asthma?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v402,,string,,homeint_export
v403,Asthma in childhood only?,category,"[1.0, 2.0, 9.0]",homeint_export
v404,Bronchitis/emphysema?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v405,,numeric,0.0 to 777.0,homeint_export
v406,Allergies?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v407,,numeric,0.0 to 7777.0,homeint_export
v408,,string,,homeint_export
v409,Arthritis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v410,Age?,numeric,1.0 to 777.0,homeint_export
v411,,string,,homeint_export
v412,Currently suffering from arthritis?,category,"[1.0, 2.0, 3.0]",homeint_export
v413,Osteoporosis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v414,Age?,numeric,25.0 to 94.0,homeint_export
v415,Tuberculosis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v416,Age?,numeric,2.0 to 83.0,homeint_export
v417,,string,,homeint_export
v418,[Men Only] Enlarged prostate?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v419,Age?,numeric,13.0 to 777.0,homeint_export
v420,Insomnia requiring treatment?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v421,Age?,numeric,8.0 to 95.0,homeint_export
v422,Depression requiring treatment?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v423,Age?,numeric,0.0 to 777.0,homeint_export
v424,Other psychiatric illness?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v425,Age?,numeric,7.0 to 74.0,homeint_export
v426,,string,,homeint_export
v427,Ever receive ECT treatment?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v428,Shingles?,category,"[1.0, 2.0, 3.0, 7.0, 8.0, 9.0]",homeint_export
v429,Benign growths (non cancer)?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v430,Age?,string,,homeint_export
v431,,string,,homeint_export
v432,Cancer?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v433,Age?,category,12.0 to 93.0,homeint_export
v434,,string,,homeint_export
v435,Currently receiving cancer treatment/had any in last 6 months?,category,"[1.0, 2.0]",homeint_export
v436,Currently in remission?,category,"[1.0, 2.0]",homeint_export
v437,How long been in remission?,category,"[1.0, 2.0]",homeint_export
v438,Intermittent claudication?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v439,Age?,numeric,50.0 to 89.0,homeint_export
v440,Parkinson's disease?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v441,Age?,category,"[72.0, 73.0, 74.0, 76.0, 79.0, 83.0, 87.0, 90.0]",homeint_export
v442,Motor Neurone disease?,category,"[1.0, 7.0, 9.0]",homeint_export
v443,Age?,category,[],homeint_export
v444,Multiple Sclerosis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v445,Age?,category,"[29.0, 30.0, 39.0, 49.0]",homeint_export
v446,Chronic Bronchitis?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v447,Age?,numeric,0.0 to 85.0,homeint_export
v448,Ever had fits or epilepsy?,category,"[1.0, 2.0, 3.0, 7.0]",homeint_export
v449,Age?,numeric,1.0 to 999.0,homeint_export
v450,Ever experienced sudden speech/memory/vision problems?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v451,Age?,numeric,14.0 to 777.0,homeint_export
v452,Ever experienced sudden weakness in an arm or leg?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v453,Age?,numeric,12.0 to 777.0,homeint_export
v454,Ever had a general anaesthetic?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v455,Age?,string,,homeint_export
v456,Number of times?,numeric,0.0 to 777.0,homeint_export
v457,Ever had serious head injury and been unconscious afterwards?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v458,Age?,numeric,0.6 to 7777.0,homeint_export
v459,Number of times?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 10.0, 12.0]",homeint_export
v460,Lost consciousness for more than 2 hours?,category,"[1.0, 2.0]",homeint_export
v461,Fractured any bones?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v462,Fracture hip?,category,"[1.0, 2.0, 9.0]",homeint_export
v463,Age?,numeric,12.0 to 93.0,homeint_export
v464,Fracture wrist after age 20?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v465,,numeric,0.0 to 90.0,homeint_export
v466,Fracture vertabra(e)?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v467,Age?,numeric,13.0 to 80.0,homeint_export
v468,Fracture skull?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v469,,numeric,0.1 to 79.0,homeint_export
v470,Had any other medical problem/operation not covered?,category,"[1.0, 2.0, 7.0, 9.0]",homeint_export
v471,,string,,homeint_export
v473,[Women Only] Age when periods started?,numeric,0.0 to 999.0,homeint_export
v474,Had your menopause?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v475,Age when periods stopped?,numeric,28.0 to 99.0,homeint_export
v476,Number of days since last menstrual period?,numeric,0.0 to 2555.0,homeint_export
v477,Length of menstrual cycle in days?,numeric,3.0 to 2266.0,homeint_export
v478,Have an IUD or coil?,category,"[1.0, 2.0, 7.0, 8.0, 9.0]",homeint_export
v479,Type?,category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v480,Have any of the following?,numeric,0 to 9,homeint_export
v481,"During past month, time gone to bed?",time,00:00 to 24:00:00,homeint_export
v482,"During past month, time taken to get to sleep?",numeric,0.0 to 7777.0,homeint_export
v483,"During past month, time got up?",time,02:30 to 16:00,homeint_export
v484,"During past month, number of hours sleep each night?",time,00:05 to 12:00,homeint_export
v485,Cannot get to sleep within 30 minutes?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v486,Wake up middle of night/early morning?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v487,Have to use the bathroom?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v488,Cannot breathe comfortably?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v489,Cough or snore loudly?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v490,Feel too cold?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v491,Feel too hot?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v492,Had bad dreams?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v493,Have pain?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v494,Any other reasons?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v496,Rate overall sleep quality past month,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v497,"During past month, how often taken medicine to help sleep?",category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v498,"During past month, how often had trouble staying awake?",category,"[1.0, 2.0, 3.0, 4.0, 9.0]",homeint_export
v499,"During past month,any problem with keeping up enthusiasm?",category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v500,Have a bed partner/roommate?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0]",homeint_export
v501,Feel tired during morning?,category,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0]",homeint_export
v502,Feel tired during afternoon?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v503,Feel tired during evening?,category,"[1.0, 2.0, 3.0, 4.0, 7.0, 9.0]",homeint_export
v504,Left or right handed?,category,"[1.0, 2.0, 3.0, 7.0, 9.0]",homeint_export
v505,Handedness - writing?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v506,Handedness - drawing?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v507,Handedness - throwing?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v508,Handedness - scissors?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v509,Handedness - toothbrush?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v510,Handedness - knife (without fork)?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v511,Handedness - spoon?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 9.0]",homeint_export
v512,Handedness - broom (upper hand)?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v513,Handedness - striking a match?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v514,Handedness - opening box (lid)?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 8.0, 9.0]",homeint_export
v515,Anna Thompson story recall?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v516,PROMPT GIVEN?,category,"[1.0, 2.0]",homeint_export
v517,AFTER PROMPT?,category,"[1.0, 2.0, 3.0, 9.0]",homeint_export
v518,Who was main character?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v519,Where was this woman from?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v520,What kind of work did she do?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v521,What was main event of story?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v522,She told details of event to?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v523,When did event take place?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
v524,Her household included?,category,"[1.0, 2.0, 3.0, 4.0, 5.0, 8.0, 9.0]",homeint_export
